english,vietnamese,ipa,category,definition,example,level
Table Setting,Kỹ năng đặt bàn,[ˈteɪbəl ˈsetɪŋ],Table Skills,Arranging dining table,Proper table setting is important.,Basic
Reservation,Đặt bàn,[ˌrezərˈveɪʃən],Table Skills,Booking a table,Do you have a reservation?,Basic
Table Booking,Đặt bàn,[ˈteɪbəl ˈbʊkɪŋ],Table Skills,Reserving dining space,Table booking for tonight.,Basic
Table Arrangement,Sắp xếp bàn,[ˈteɪbəl əˈreɪndʒmənt],Table Skills,Organizing dining tables,Table arrangement for party.,Basic
Seating Arrangement,Sắp xếp chỗ ngồi,[ˈsiːtɪŋ əˈreɪndʒmənt],Table Skills,Organizing guest seating,Seating arrangement for wedding.,Basic
Table Layout,Bố trí bàn,[ˈteɪbəl ˈleɪaʊt],Table Skills,Table positioning,Table layout for event.,Basic
Place Setting,Bộ đồ ăn,[pleɪs ˈsetɪŋ],Table Skills,Individual dining setup,Complete place setting.,Basic
Tableware,Đồ dùng bàn,[ˈteɪbəlwer],Table Skills,Dining utensils and dishes,Quality tableware selection.,Basic
Flatware,Dụng cụ ăn,[ˈflætwer],Table Skills,Knives forks spoons,Polish the flatware.,Basic
Silverware,Đồ bạc,[ˈsɪlvərwer],Table Skills,Silver dining utensils,Antique silverware collection.,Basic
Cutlery,Dụng cụ cắt,[ˈkʌtləri],Table Skills,Eating utensils,Clean cutlery required.,Basic
Dinnerware,Đồ ăn,[ˈdɪnərwer],Table Skills,Plates and bowls,Fine dinnerware set.,Basic
Chinaware,Đồ sứ,[ˈtʃaɪnəwer],Table Skills,Ceramic dishes,Delicate chinaware.,Basic
Glassware,Đồ thủy tinh,[ˈglæswer],Table Skills,Drinking vessels,Crystal glassware.,Basic
Stemware,Ly có chân,[ˈstemwer],Table Skills,Glasses with stems,Wine stemware collection.,Basic
Tablecloth,Khăn trải bàn,[ˈteɪbəlklɔːθ],Table Skills,Table covering,White tablecloth required.,Basic
Placemat,Khăn lót đĩa,[ˈpleɪsmæt],Table Skills,Individual table mat,Decorative placemat.,Basic
Napkin,Khăn ăn,[ˈnæpkɪn],Table Skills,Cleaning cloth,Cloth napkin folding.,Basic
Table Runner,Khăn dọc bàn,[ˈteɪbəl ˈrʌnər],Table Skills,Decorative center strip,Silk table runner.,Basic
Centerpiece,Trang trí giữa bàn,[ˈsentərpiːs],Table Skills,Table decoration,Flower centerpiece.,Basic
Table Decoration,Trang trí bàn,[ˈteɪbəl ˌdekəˈreɪʃən],Table Skills,Table embellishment,Elegant table decoration.,Basic
Candlestick,Chân nến,[ˈkændəlstɪk],Table Skills,Candle holder,Silver candlestick.,Basic
Candle Holder,Giá nến,[ˈkændəl ˈhoʊldər],Table Skills,Candle support,Decorative candle holder.,Basic
Vase,Bình hoa,[veɪs],Table Skills,Flower container,Crystal vase centerpiece.,Basic
Flower Arrangement,Cắm hoa,[ˈflaʊər əˈreɪndʒmənt],Table Skills,Flower display,Beautiful flower arrangement.,Basic
Table Number,Số bàn,[ˈteɪbəl ˈnʌmbər],Table Skills,Table identification,Table number 12.,Basic
Seat Number,Số ghế,[siːt ˈnʌmbər],Table Skills,Chair identification,Seat number 5.,Basic
Table Size,Kích thước bàn,[ˈteɪbəl saɪz],Table Skills,Table dimensions,Table size for 8 people.,Basic
Round Table,Bàn tròn,[raʊnd ˈteɪbəl],Table Skills,Circular table,Round table for 6.,Basic
Square Table,Bàn vuông,[skwer ˈteɪbəl],Table Skills,Four-sided table,Square table for 4.,Basic
Rectangular Table,Bàn chữ nhật,[rekˈtæŋgjələr ˈteɪbəl],Table Skills,Long table,Rectangular table for 10.,Basic
Oval Table,Bàn bầu dục,[ˈoʊvəl ˈteɪbəl],Table Skills,Egg-shaped table,Oval table for 8.,Basic
Banquet Table,Bàn tiệc,[ˈbæŋkwət ˈteɪbəl],Table Skills,Large dining table,Banquet table setup.,Basic
High Table,Bàn cao,[haɪ ˈteɪbəl],Table Skills,Tall table,High table for standing.,Basic
Low Table,Bàn thấp,[loʊ ˈteɪbəl],Table Skills,Short table,Low table for floor seating.,Basic
Folding Table,Bàn gập,[ˈfoʊldɪŋ ˈteɪbəl],Table Skills,Collapsible table,Folding table for events.,Basic
Extendable Table,Bàn mở rộng,[ɪkˈstendəbəl ˈteɪbəl],Table Skills,Expandable table,Extendable table for parties.,Basic
Coffee Table,Bàn cà phê,[ˈkɔːfi ˈteɪbəl],Table Skills,Low living room table,Coffee table arrangement.,Basic
Side Table,Bàn phụ,[saɪd ˈteɪbəl],Table Skills,Small auxiliary table,Side table for drinks.,Basic
End Table,Bàn góc,[end ˈteɪbəl],Table Skills,Corner table,End table decoration.,Basic
Console Table,Bàn console,[ˈkɑːnsoʊl ˈteɪbəl],Table Skills,Wall table,Console table against wall.,Basic
Dining Chair,Ghế ăn,[ˈdaɪnɪŋ tʃer],Table Skills,Eating seat,Comfortable dining chair.,Basic
Armchair,Ghế có tay vịn,[ˈɑːrmtʃer],Table Skills,Chair with arms,Leather armchair.,Basic
Side Chair,Ghế không tay vịn,[saɪd tʃer],Table Skills,Chair without arms,Wooden side chair.,Basic
Folding Chair,Ghế gập,[ˈfoʊldɪŋ tʃer],Table Skills,Collapsible chair,Folding chair for events.,Basic
Stool,Ghế đẩu,[stuːl],Table Skills,Backless seat,Bar stool height.,Basic
Bench,Ghế dài,[bentʃ],Table Skills,Long seat,Wooden bench seating.,Basic
Booth,Ghế ngồi riêng,[buːθ],Table Skills,Enclosed seating,Restaurant booth.,Basic
Banquette,Ghế dài có lưng,[bæŋˈket],Table Skills,Upholstered bench,Banquette seating.,Basic
Captain's Chair,Ghế thuyền trưởng,[ˈkæptənz tʃer],Table Skills,Head of table chair,Captain's chair at head.,Basic
Host Chair,Ghế chủ nhà,[hoʊst tʃer],Table Skills,Host's seat,Host chair position.,Basic
Guest Chair,Ghế khách,[gest tʃer],Table Skills,Guest's seat,Guest chair arrangement.,Basic
Table Height,Chiều cao bàn,[ˈteɪbəl haɪt],Table Skills,Table elevation,Standard table height.,Basic
Chair Height,Chiều cao ghế,[tʃer haɪt],Table Skills,Seat elevation,Comfortable chair height.,Basic
Seat Height,Chiều cao chỗ ngồi,[siːt haɪt],Table Skills,Sitting level,Adjustable seat height.,Basic
Table Space,Không gian bàn,[ˈteɪbəl speɪs],Table Skills,Table area,Sufficient table space.,Basic
Seating Capacity,Sức chứa,[ˈsiːtɪŋ kəˈpæsəti],Table Skills,Maximum guests,Seating capacity for 50.,Basic
Table Spacing,Khoảng cách bàn,[ˈteɪbəl ˈspeɪsɪŋ],Table Skills,Distance between tables,Proper table spacing.,Basic
Aisle Space,Không gian lối đi,[aɪl speɪs],Table Skills,Walkway area,Sufficient aisle space.,Basic
Service Area,Khu vực phục vụ,[ˈsɜːrvɪs ˈeriə],Table Skills,Staff workspace,Service area access.,Basic
Kitchen Access,Truy cập bếp,[ˈkɪtʃən ˈækses],Table Skills,Kitchen connection,Kitchen access for service.,Basic
Table Service,Dịch vụ bàn,[ˈteɪbəl ˈsɜːrvɪs],Table Skills,Table-side service,Full table service.,Basic
