Phân loại chuyên môn,Cấp độ chuyên môn,Thuật ngữ (English),Tiếng Việt,Phát âm (IPA),Định nghĩa chuyên môn,Ứng dụng thực tế
Kỹ thuật chế biến,Cao cấp,Molecular Gastronomy,Ẩm thực phân tử,/məˈlekjələr gæˈstrɒnəmi/,"Khoa học ứng dụng vào nấu ăn, sử dụng thiết bị đặc biệt tạo texture mới","Tạo ra ""trứng cá muối"" từ nước trái cây, gelato nóng không tan"
Kỹ thuật chế biến,Cao cấp,Sous Vide,Nấu chân không,/suː ˈviːd/,Kỹ thuật nấu chân không ở nhiệt độ thấp trong thời gian dài,"Nấu steak hoàn hảo 56°C trong 2 giờ, đảm bảo độ mềm đều"
Kỹ thuật chế biến,Trung cấp,Confit,Ngâm dầu thấp nhiệt,/kɒnˈfiː/,Ngâm thực phẩm trong dầu/mỡ ở nhiệt độ thấp để bảo quản và tạo hương vị,Duck confit - vịt ngâm mỡ 12 giờ tạo texture mềm mượt
Kỹ thuật chế biến,Trung cấp,Flambé,Nướng có cồn,/fləmˈbeɪ/,"Kỹ thuật đốt cồn tạo lửa để nấu món ăn, tăng hương vị",Banana flambé - chuối nướng với rum tạo hương vị đặc biệt
Kỹ thuật chế biến,Cơ bản,Sauté,Xào nhanh,/soʊˈteɪ/,Xào nhanh ở nhiệt độ cao với ít dầu mỡ,Sauté rau củ giữ nguyên màu xanh và độ giòn
Kỹ thuật chế biến,Cao cấp,Spherification,Kỹ thuật tạo cầu,/ˌsfɪərɪfɪˈkeɪʃən/,Tạo ra những quả cầu chất lỏng bằng alginate và calcium,"Tạo ""trái cây nổ"" trong miệng với vị chua ngọt"
Kỹ thuật chế biến,Cao cấp,Foam Technique,Kỹ thuật tạo bọt,/foʊm tekˈniːk/,Sử dụng lecithin tạo bọt từ các chất lỏng,"Foam cocktail, bọt trà xanh trên dessert"
Kỹ thuật chế biến,Trung cấp,Emulsification,Nhũ tương hóa,/ɪˌmʌlsɪfɪˈkeɪʃən/,Kết hợp hai chất lỏng không hòa tan tạo thành hỗn hợp đồng nhất,"Mayonnaise, hollandaise - sốt mịn từ dầu và trứng"
Kỹ thuật chế biến,Trung cấp,Reduction,Cô đặc nước sốt,/rɪˈdʌkʃən/,Cô đặc nước sốt bằng cách đun sôi để bay hơi nước,Giảm 500ml rượu vang thành 50ml để tăng đậm đà
Kỹ thuật chế biến,Cơ bản,Blanching,Chần sơ,/ˈblæntʃɪŋ/,Luộc nhanh rồi ngâm nước đá để giữ màu và độ giòn,Rau xanh luộc 30 giây giữ màu và vitamin
Kỹ thuật chế biến,Cao cấp,Tempering,Điều hòa nhiệt độ,/ˈtempərɪŋ/,Kiểm soát nhiệt độ chocolate để tạo độ bóng và không bị lem,Chocolate tempering tạo độ bóng hoàn hảo
Kỹ thuật chế biến,Cao cấp,Caramelization,Caramel hóa,/ˌkærəməlaɪˈzeɪʃən/,Đường hóa nâu tạo màu và hương vị đặc trưng,Onion caramelization - hành tây nâu mật tạo ngọt tự nhiên
Kỹ thuật chế biến,Trung cấp,Braising,Hầm chậm,/ˈbreɪzɪŋ/,Nấu chậm trong chất lỏng ở nhiệt độ thấp,Short ribs braised 4 giờ trong rượu vang đỏ
Kỹ thuật chế biến,Trung cấp,Poaching,Luộc nhẹ,/ˈpoʊtʃɪŋ/,Nấu trong nước sôi nhẹ không sủi bọt,Cá hồi poached trong court bouillon
Kỹ thuật chế biến,Cơ bản,Grilling,Nướng vỉ,/ˈgrɪlɪŋ/,Nướng trên vỉ ở nhiệt độ cao,Thịt nướng vỉ tạo vết grill đẹp mắt
Phong cách phục vụ,Cao cấp,Gueridon Service,Phục vụ xe đẩy,/ˈgeɪriːdɒn ˈsɜːrvɪs/,"Phục vụ từ xe đẩy di động, chuẩn bị món ăn trước mặt khách",Caesar salad được trộn tại bàn khách từ xe đẩy chuyên dụng
Phong cách phục vụ,Cao cấp,Silver Service,Phục vụ bạc,/ˈsɪlvər ˈsɜːrvɪs/,"Phục vụ bằng dụng cụ bạc, trang trọng và chuyên nghiệp",Phục vụ fine dining với dụng cụ bạc sang trọng
Phong cách phục vụ,Cao cấp,French Service,Phục vụ kiểu Pháp,/frentʃ ˈsɜːrvɪs/,"Phục vụ theo cách truyền thống Pháp, từ phải sang trái","Nhân viên phục vụ từ phía phải khách, thu từ phía trái"
Phong cách phục vụ,Trung cấp,Russian Service,Phục vụ kiểu Nga,/ˈrʌʃən ˈsɜːrvɪs/,"Phục vụ từ khay lớn, khách tự lấy phần của mình",Khách tự lấy thức ăn từ khay lớn do server cầm
Phong cách phục vụ,Trung cấp,American Service,Phục vụ kiểu Mỹ,/əˈmerɪkən ˈsɜːrvɪs/,Phục vụ đĩa đã trang trí sẵn từ bếp,Đĩa được trang trí hoàn chỉnh từ bếp mang ra
Phong cách phục vụ,Trung cấp,English Service,Phục vụ kiểu Anh,/ˈɪŋglɪʃ ˈsɜːrvɪs/,Khách tự phục vụ từ đĩa chung do nhân viên cầm,"Server đặt đĩa chung, khách tự chia phần"
Phong cách phục vụ,Cơ bản,Buffet Service,Phục vụ buffet,/bʊˈfeɪ ˈsɜːrvɪs/,Khách tự lấy thức ăn từ quận bar buffet,Khách tự lấy thức ăn từ các quầy buffet đa dạng
Phong cách phục vụ,Cơ bản,Family Style,Phục vụ gia đình,/ˈfæməli staɪl/,Thức ăn được đựng trong đĩa lớn để cả bàn chia sẻ,"Paella, lẩu được đặt giữa bàn để mọi người cùng ăn"
Phong cách phục vụ,Cao cấp,Tableside Service,Phục vụ tại bàn,/ˈteɪbəlˌsaɪd ˈsɜːrvɪs/,Chuẩn bị hoặc hoàn thiện món ăn ngay tại bàn khách,"Flambé, carving được thực hiện tại bàn khách"
Phong cách phục vụ,Cao cấp,Chef's Table,Bàn của bếp trưởng,/ʃefs ˈteɪbəl/,Bàn đặc biệt trong bếp để khách quan sát đầu bếp làm việc,Khách ngồi trong bếp xem chef nấu và được phục vụ đặc biệt
Phong cách phục vụ,Trung cấp,Tasting Menu Service,Phục vụ thực đơn nếm,/ˈteɪstɪŋ ˈmenjuː ˈsɜːrvɪs/,Phục vụ nhiều món nhỏ theo trình tự đã định,Omakase - 8-12 món nhỏ theo trình tự của chef
