Phân loại chuyên môn,Cấp độ chuyên môn,Thuật ngữ (English),Tiếng Việt,Phát âm (IPA),Định nghĩa chuyên môn,Ứng dụng thực tế
Front Office,Intermediate,Walk-in Guest,Khách đến đột xuất,[wɔːk ɪn gest],Guest without reservation,We welcome walk-in guests.
Front Office,Intermediate,Overbooking,Đặt phòng quá mức,[ˈoʊvərbʊkɪŋ],More reservations than rooms,We have an overbooking situation.
Front Office,Intermediate,Upgrade,Nâng cấp,[ˈʌpgreɪd],Better room category,We can upgrade your room.
Front Office,Intermediate,Downgrade,Hạ cấp,[ˈdaʊngreɪd],Lower room category,"Sorry, we must downgrade."
Front Office,Intermediate,No-show,Không đến,[noʊ ʃoʊ],Guest doesn't arrive,Mark this as a no-show.
Front Office,Intermediate,Early Arrival,Đến sớm,[ˈɜːrli əˈraɪvəl],Before check-in time,Can you handle early arrival?
Front Office,Intermediate,Late Checkout,Trả phòng muộn,[leɪt ˈtʃekaʊt],After standard time,Late checkout incurs a fee.
Front Office,Intermediate,Group Booking,Đặt phòng đoàn,[gruːp ˈbʊkɪŋ],Multiple room reservation,This is a group booking.
Front Office,Intermediate,VIP Guest,Khách VIP,[viː aɪ piː gest],Very important person,Prepare for VIP guest arrival.
Front Office,Intermediate,Loyalty Program,Chương trình khách hàng thân thiết,[ˈlɔɪəlti ˈproʊgræm],Rewards system,Are you in our loyalty program?
Front Office,Intermediate,Points,Điểm tích lũy,[pɔɪnts],Reward credits,You earned 500 points.
Front Office,Intermediate,Member,Thành viên,[ˈmembər],Program participant,You're a Gold member.
Front Office,Intermediate,Benefits,Quyền lợi,[ˈbenəfɪts],Member advantages,Enjoy member benefits.
Front Office,Intermediate,Cancellation,Hủy đặt phòng,[ˌkænsəˈleɪʃən],Booking termination,What's the cancellation policy?
Front Office,Intermediate,Modification,Thay đổi,[ˌmɑːdəfəˈkeɪʃən],Booking change,I need a modification.
Front Office,Intermediate,Extension,Gia hạn,[ɪkˈstenʃən],Stay lengthening,Can I get an extension?
