english,vietnamese,ipa,category,definition,example,level
Butler Service,Dịch vụ quản gia,[ˈbʌtlər ˈsɜːrvɪs],Luxury,Personal attendant service,Butler service includes unpacking.,Advanced
White Glove Service,Dịch vụ cao cấp tuyệt đối,[waɪt glʌv ˈsɜːrvɪs],Luxury,Highest level service,White glove service for VIPs.,Advanced
Concierge Level,Cấp độ concierge,[ˈkɑːnsiˌerʒ ˈlevəl],Luxury,Premium guest floor,Upgrade to concierge level.,Advanced
Executive Lounge,Phòng chờ hạng thương gia,[ɪgˈzekjətɪv laʊndʒ],Luxury,VIP relaxation area,Access to executive lounge.,Advanced
Presidential Suite,Phòng tổng thống,[ˌprezɪˈdenʃəl swiːt],Luxury,Highest category room,Presidential suite has butler.,Advanced
Penthouse,Căn penthouse,[ˈpenthaʊs],Luxury,Top floor luxury unit,Penthouse offers panoramic views.,Advanced
Personal Shopper,Người mua sắm cá nhân,[ˈpɜːrsənəl ˈʃɑːpər],Luxury,Shopping assistant,Personal shopper service available.,Advanced
Private Dining,Bữa ăn riêng tư,[ˈpraɪvət ˈdaɪnɪŋ],Luxury,Exclusive dining experience,Book private dining room.,Advanced
Champagne Service,Dịch vụ champagne,[ʃæmˈpeɪn ˈsɜːrvɪs],Luxury,Premium beverage service,Complimentary champagne service.,Advanced
Turndown Amenity,Quà tặng buổi tối,[ˈtɜːrndaʊn əˈmenəti],Luxury,Evening gift,Turndown amenity is chocolate.,Advanced
Bespoke Service,Dịch vụ được thiết kế riêng,[bɪˈspoʊk ˈsɜːrvɪs],Luxury,Customized service,We offer bespoke services.,Advanced
High-End Amenities,Tiện nghi cao cấp,[haɪ end əˈmenətiz],Luxury,Premium facilities,Enjoy high-end amenities.,Advanced
Exclusive Access,Quyền truy cập độc quyền,[ɪkˈskluːsɪv ˈækses],Luxury,Special privileges,Exclusive access to rooftop.,Advanced
Premium Brand,Thương hiệu cao cấp,[ˈpriːmiəm brænd],Luxury,High-quality products,Premium brand toiletries.,Advanced
Luxury Transportation,Phương tiện cao cấp,[ˈlʌkʃəri ˌtrænspərˈteɪʃən],Luxury,High-end vehicles,Luxury transportation arranged.,Advanced
Private Jet,Máy bay riêng,[ˈpraɪvət dʒet],Luxury,Personal aircraft,Private jet transfer available.,Advanced
Yacht Charter,Thuê du thuyền,[jɑːt ˈtʃɑːrtər],Luxury,Boat rental,Arrange yacht charter.,Advanced
Helicopter Transfer,Chuyển bằng trực thăng,[ˈhelɪkɑːptər ˈtrænsfər],Luxury,Aircraft transport,Helicopter transfer to airport.,Advanced
VIP Protocol,Quy trình VIP,[viː aɪ piː ˈproʊtəkɔl],Luxury,Special procedures,Follow VIP protocol.,Advanced
Red Carpet Treatment,Đón tiếp thảm đỏ,[red ˈkɑːrpət ˈtriːtmənt],Luxury,Celebrity-style welcome,Red carpet treatment for guests.,Advanced
Discretion,Kín đáo,[dɪˈskreʃən],Luxury,Privacy and confidentiality,Maintain discretion with celebrities.,Advanced
Confidentiality,Bảo mật,[ˌkɑːnfəˌdenʃiˈæləti],Luxury,Information security,Guest confidentiality is essential.,Advanced
Personalization,Cá nhân hóa,[ˌpɜːrsənələˈzeɪʃən],Luxury,Customized experience,Focus on personalization.,Advanced
Guest Preference,Sở thích khách hàng,[gest ˈprefərəns],Luxury,Customer likes,Note guest preferences.,Advanced
Anticipatory Service,Dịch vụ đoán trước,[ænˈtɪsəpəˌtɔri ˈsɜːrvɪs],Luxury,Proactive assistance,Provide anticipatory service.,Advanced
Memorable Experience,Trải nghiệm đáng nhớ,[ˈmemərabəl ɪkˈspɪriəns],Luxury,Unforgettable moments,Create memorable experiences.,Advanced
Exceeding Expectations,Vượt mong đợi,[ɪkˈsiːdɪŋ ˌekspekˈteɪʃənz],Luxury,Surpassing hopes,Focus on exceeding expectations.,Advanced
Wow Factor,Yếu tố gây ấn tượng,[waʊ ˈfæktər],Luxury,Impressive element,Add wow factor to service.,Advanced
Platinum Member,Thành viên bạch kim,[ˈplætənəm ˈmembər],Luxury,Highest tier guest,Platinum member benefits.,Advanced
Elite Status,Tư cách ưu tú,[ɪˈliːt ˈsteɪtəs],Luxury,Top level recognition,Elite status privileges.,Advanced
Ambassador Program,Chương trình đại sứ,[æmˈbæsədər ˈproʊgræm],Luxury,Top guest program,Join ambassador program.,Advanced
Lifetime Recognition,Ghi nhận suốt đời,[ˈlaɪftaɪm ˌrekəgˈnɪʃən],Luxury,Permanent status,Lifetime recognition achieved.,Advanced
Exclusive Events,Sự kiện độc quyền,[ɪkˈskluːsɪv ɪˈvents],Luxury,Private functions,Invited to exclusive events.,Advanced
Master Suite,Phòng suite chính,[ˈmæstər swiːt],Luxury,Main luxury room,Master suite with ocean view.,Advanced
Imperial Service,Dịch vụ hoàng gia,[ɪmˈpɪriəl ˈsɜːrvɪs],Luxury,Royal-style treatment,Imperial service standards.,Advanced
Opulent,Xa hoa,[ˈɑːpjələnt],Luxury,Luxuriously rich,Opulent room furnishings.,Advanced
Extravagant,Xa hoa phung phí,[ɪkˈstrævəgənt],Luxury,Lavishly expensive,Extravagant dining experience.,Advanced
Grandeur,Hùng vĩ,[ˈgrændʒər],Luxury,Impressive magnificence,Hotel's architectural grandeur.,Advanced
Magnificence,Lộng lẫy,[mægˈnɪfəsəns],Luxury,Impressive beauty,Lobby's magnificence.,Advanced
Sumptuous,Sang trọng,[ˈsʌmptʃuəs],Luxury,Luxuriously costly,Sumptuous breakfast buffet.,Advanced
Molecular Gastronomy,Ẩm thực phân tử,[məˈlekjələr gæˈstrɑːnəmi],Fine Dining,Scientific cooking,Restaurant features molecular gastronomy.,Advanced
Spherification,Kỹ thuật tạo cầu,[ˌsfɪrɪfəˈkeɪʃən],Fine Dining,Liquid sphere technique,Spherification creates caviar pearls.,Advanced
Sous Vide,Nấu chân không,[suː ˈviːd],Fine Dining,Vacuum cooking method,Steak prepared sous vide.,Advanced
Foam Technique,Kỹ thuật tạo bọt,[foʊm tekˈniːk],Fine Dining,Culinary foam creation,Basil foam technique.,Advanced
Deconstruction,Tách rời thành phần,[ˌdiːkənˈstrʌkʃən],Fine Dining,Breaking down dishes,Deconstructed apple pie.,Advanced
Plating Artistry,Nghệ thuật trang trí đĩa,[ˈpleɪtɪŋ ˈɑːrtəstri],Fine Dining,Food presentation art,Focus on plating artistry.,Advanced
Amuse-bouche,Món khai vị nhỏ,[aˈmuz buʃ],Fine Dining,Small appetizer,Start with amuse-bouche.,Advanced
Palate Cleanser,Món làm sạch vị giác,[ˈpælət ˈklenzər],Fine Dining,Taste refresher,Sorbet as palate cleanser.,Advanced
Degustation,Nếm thử,[ˌdegəˈsteɪʃən],Fine Dining,Tasting experience,Seven-course degustation menu.,Advanced
Chef's Table,Bàn của bếp trưởng,[ʃefs ˈteɪbəl],Fine Dining,Kitchen dining experience,Book chef's table experience.,Advanced
Farm-to-Table,Từ trang trại đến bàn ăn,[fɑːrm tə ˈteɪbəl],Fine Dining,Fresh local sourcing,Farm-to-table philosophy.,Advanced
Terroir,Đặc trưng vùng miền,[terˈwɑːr],Fine Dining,Regional characteristics,Wine reflects terroir.,Advanced
Provenance,Nguồn gốc,[ˈprɑːvənəns],Fine Dining,Ingredient origin,Know ingredient provenance.,Advanced
Artisanal,Thủ công,[ɑːrtəˈzænəl],Fine Dining,Handcrafted,Artisanal bread selection.,Advanced
Heirloom,Giống cổ,[ˈerlum],Fine Dining,Heritage varieties,Heirloom tomatoes.,Advanced
Sustainable,Bền vững,[səˈsteɪnəbəl],Fine Dining,Environmentally responsible,Sustainable seafood only.,Advanced
Foraging,Tìm kiếm thực phẩm tự nhiên,[ˈfɔːrɪdʒɪŋ],Fine Dining,Wild ingredient hunting,Menu features foraged herbs.,Advanced
Umami,Vị umami,[uˈmɑːmi],Fine Dining,Fifth taste,Rich umami flavor.,Advanced
Mise en Place,Chuẩn bị sẵn sàng,[miːz ɒn ˈplɑːs],Fine Dining,Everything in place,Perfect mise en place.,Advanced
Culinary Innovation,Đổi mới ẩm thực,[ˈkʌləneri ˌɪnoʊˈveɪʃən],Fine Dining,Creative cooking,Award for culinary innovation.,Advanced
Gastronomic,Thuộc về ẩm thực,[ˌgæstrəˈnɑːmɪk],Fine Dining,Related to fine food,Gastronomic experience.,Advanced
Epicurean,Sành ăn,[ˌepəˈkjʊriən],Fine Dining,Food lover,Epicurean delight.,Advanced
Connoisseur,Người sành,[ˌkɑːnəˈsɜːr],Fine Dining,Expert judge,Wine connoisseur.,Advanced
Michelin Star,Sao Michelin,[ˈmɪtʃəlɪn stɑːr],Fine Dining,Restaurant rating,Three Michelin star restaurant.,Advanced
James Beard Award,Giải James Beard,[dʒeɪmz bɪrd əˈwɔːrd],Fine Dining,Culinary honor,James Beard award winner.,Advanced
World's 50 Best,50 nhà hàng tốt nhất thế giới,[wɜːrldz ˈfɪfti best],Fine Dining,Restaurant ranking,Listed in World's 50 Best.,Advanced
Culinary Arts,Nghệ thuật ẩm thực,[ˈkʌləneri ɑːrts],Fine Dining,Cooking artistry,Master of culinary arts.,Advanced
Fusion Cuisine,Ẩm thực fusion,[ˈfjuːʒən kwəˈziːn],Fine Dining,Combined cooking styles,Asian-French fusion cuisine.,Advanced
Nouvelle Cuisine,Ẩm thực mới,[nuˈvel kwəˈziːn],Fine Dining,Modern French cooking,Nouvelle cuisine techniques.,Advanced
Haute Cuisine,Ẩm thực cao cấp,[oʊt kwəˈziːn],Fine Dining,High-end cooking,Traditional haute cuisine.,Advanced
Culinary Heritage,Di sản ẩm thực,[ˈkʌləneri ˈherətɪdʒ],Fine Dining,Food traditions,Preserve culinary heritage.,Advanced
Gastronomic Journey,Hành trình ẩm thực,[ˌgæstrəˈnɑːmɪk ˈdʒɜːrni],Fine Dining,Food adventure,Embark on gastronomic journey.,Advanced
Flavor Profile,Hồ sơ hương vị,[ˈfleɪvər ˈproʊfaɪl],Fine Dining,Taste characteristics,Complex flavor profile.,Advanced
Culinary Philosophy,Triết lý ẩm thực,[ˈkʌləneri fəˈlɑːsəfi],Fine Dining,Cooking beliefs,Chef's culinary philosophy.,Advanced
Sensory Experience,Trải nghiệm giác quan,[ˈsensəri ɪkˈspɪriəns],Fine Dining,Multi-sense dining,Complete sensory experience.,Advanced
Sommelier,Chuyên gia rượu vang,[sʌməˈlɪeɪ],Wine Service,Wine expert,Consult with sommelier.,Advanced
Wine Pairing,Ghép đôi rượu vang,[waɪn ˈperɪŋ],Wine Service,Food and wine matching,Perfect wine pairing.,Advanced
Decanting,Rót rượu sang bình,[dɪˈkæntɪŋ],Wine Service,Wine aeration process,Red wine needs decanting.,Advanced
Aerating,Thông khí,[ˈerəˌteɪtɪŋ],Wine Service,Exposing wine to air,Aerating improves flavor.,Advanced
Vintage,Năm sản xuất,[ˈvɪntɪdʒ],Wine Service,Wine year,Excellent 2018 vintage.,Advanced
Terroir,Đặc trưng vùng,[terˈwɑːr],Wine Service,Regional character,Bordeaux terroir.,Advanced
Appellation,Vùng sản xuất,[ˌæpəˈleɪʃən],Wine Service,Wine region designation,Champagne appellation.,Advanced
Tannins,Chất tanin,[ˈtænɪnz],Wine Service,Wine compounds,High tannin content.,Advanced
Acidity,Độ chua,[əˈsɪdəti],Wine Service,Wine sharpness,Balanced acidity.,Advanced
Body,Thân rượu,[ˈbɑːdi],Wine Service,Wine weight,Full-bodied red wine.,Advanced
Finish,Hậu vị,[ˈfɪnɪʃ],Wine Service,Aftertaste,Long smooth finish.,Advanced
Bouquet,Hương thơm,[buˈkeɪ],Wine Service,Wine aroma,Complex bouquet.,Advanced
Nose,Mùi hương,[noʊz],Wine Service,Wine smell,Pleasant nose.,Advanced
Legs,Vệt rượu,[legz],Wine Service,Wine drips on glass,Good legs indicate quality.,Advanced
Cellar,Hầm rượu,[ˈselər],Wine Service,Wine storage,Extensive wine cellar.,Advanced
Corked,Bị hỏng nút chai,[kɔːrkt],Wine Service,Wine defect,This wine is corked.,Advanced
Oxidized,Bị oxy hóa,[ˈɑːksəˌdaɪzd],Wine Service,Air-damaged wine,Wine tastes oxidized.,Advanced
Sediment,Cặn rượu,[ˈsedəmənt],Wine Service,Wine deposits,Filter out sediment.,Advanced
Champagne Flute,Ly champagne,[ʃæmˈpeɪn fluːt],Wine Service,Sparkling wine glass,Serve in champagne flute.,Advanced
Wine Glasses,Ly rượu vang,[waɪn ˈglæsəz],Wine Service,Proper stemware,Use appropriate wine glasses.,Advanced
Burgundy Glass,Ly Burgundy,[ˈbɜːrgəndi glæs],Wine Service,Wide bowl glass,Pinot Noir in Burgundy glass.,Advanced
Bordeaux Glass,Ly Bordeaux,[bɔːrˈdoʊ glæs],Wine Service,Tall wine glass,Cabernet in Bordeaux glass.,Advanced
Temperature Control,Kiểm soát nhiệt độ,[ˈtempərətʃər kənˈtroʊl],Wine Service,Proper serving temp,Maintain temperature control.,Advanced
Chilled,Làm lạnh,[tʃɪld],Wine Service,Cold temperature,White wine served chilled.,Advanced
Room Temperature,Nhiệt độ phòng,[ruːm ˈtempərətʃər],Wine Service,Ambient temperature,Red wine at room temperature.,Advanced
Ice Bucket,Xô đá,[aɪs ˈbʌkət],Wine Service,Wine chiller,Champagne in ice bucket.,Advanced
Wine Opener,Dụng cụ mở rượu,[waɪn ˈoʊpənər],Wine Service,Corkscrew tool,Professional wine opener.,Advanced
Corkscrew,Cái mở nút chai,[ˈkɔːrkskruː],Wine Service,Cork removal tool,Use waiter's corkscrew.,Advanced
Wine Tasting,Nếm rượu vang,[waɪn ˈteɪstɪŋ],Wine Service,Wine evaluation,Weekly wine tasting.,Advanced
Flight,Bộ rượu thử,[flaɪt],Wine Service,Wine sampling set,Pinot Noir flight.,Advanced
Revenue Management,Quản lý doanh thu,[ˈrevəˌnuː ˈmænɪdʒmənt],Revenue,Income optimization,Implement revenue management.,Advanced
Yield Management,Quản lý lợi nhuận,[jiːld ˈmænɪdʒmənt],Revenue,Profit optimization,Yield management strategies.,Advanced
ADR,Giá phòng bình quân,[eɪ diː ɑːr],Revenue,Average Daily Rate,ADR increased 15%.,Advanced
RevPAR,Doanh thu phòng trên phòng có sẵn,[ˈrevpɑːr],Revenue,Revenue Per Available Room,RevPAR performance strong.,Advanced
Occupancy Rate,Tỷ lệ lấp đầy,[ˈɑːkjəpənsi reɪt],Revenue,Room utilization,95% occupancy rate.,Advanced
Market Segmentation,Phân khúc thị trường,[ˈmɑːrkət ˌsegmənˈteɪʃən],Revenue,Customer categories,Focus on market segmentation.,Advanced
Dynamic Pricing,Định giá động,[daɪˈnæmɪk ˈpraɪsɪŋ],Revenue,Flexible rate strategy,Dynamic pricing model.,Advanced
Demand Forecasting,Dự báo nhu cầu,[dɪˈmænd ˈfɔːrkæstɪŋ],Revenue,Predicting customer needs,Accurate demand forecasting.,Advanced
Competitive Analysis,Phân tích đối thủ,[kəmˈpetətɪv əˈnæləsəs],Revenue,Market comparison,Monthly competitive analysis.,Advanced
Rate Parity,Bình đẳng giá,[reɪt ˈperəti],Revenue,Consistent pricing,Maintain rate parity.,Advanced
OTA,Đại lý du lịch trực tuyến,[oʊ tiː eɪ],Revenue,Online Travel Agent,Manage OTA relationships.,Advanced
Distribution Channels,Kênh phân phối,[ˌdɪstrəˈbjuːʃən ˈtʃænəlz],Revenue,Booking sources,Diversify distribution channels.,Advanced
Direct Bookings,Đặt phòng trực tiếp,[dəˈrekt ˈbʊkɪŋz],Revenue,Hotel website reservations,Increase direct bookings.,Advanced
Commission,Hoa hồng,[kəˈmɪʃən],Revenue,Agent payment,15% commission rate.,Advanced
Net Rate,Giá thuần,[net reɪt],Revenue,Rate without commission,Quote net rate.,Advanced
BAR,Giá tốt nhất có sẵn,[bɑːr],Revenue,Best Available Rate,BAR pricing strategy.,Advanced
