english,vietnamese,ipa,category,definition,example,level
Check-in,Nhận phòng,[tʃek ɪn],Front Office,Process of registering guest arrival,Check-in time is 3:00 PM.,Basic
Check-out,Trả phòng,[tʃek aʊt],Front Office,Process of guest departure,Check-out time is 11:00 AM.,Basic
Reservation,Đặt phòng,[ˌrezərˈveɪʃən],Front Office,Advance booking for accommodation,Your reservation is confirmed.,Basic
Reception,Lễ tân,[rɪˈsepʃən],Front Office,Front desk area,Please go to reception for assistance.,Basic
Guest,Khách,[gest],Front Office,Hotel customer,Our guest needs extra towels.,Basic
Room Key,Chìa khóa phòng,[ruːm kiː],Front Office,Access card for room,Here is your room key.,Basic
Lobby,Sảnh khách sạn,[ˈlɑːbi],Front Office,Main entrance area,Please wait in the lobby.,Basic
Receptionist,Nhân viên lễ tân,[rɪˈsepʃənɪst],Front Office,Front desk staff,The receptionist will help you.,Basic
Luggage,Hành lý,[ˈlʌgɪdʒ],Front Office,Guest's bags,Where is your luggage?,Basic
Porter,Nhân viên khuân vác,[ˈpɔːrtər],Front Office,Staff who carries luggage,The porter will help with bags.,Basic
Concierge,Nhân viên hỗ trợ,[ˈkɑːnsiˌerʒ],Front Office,Guest assistance staff,Ask the concierge for directions.,Basic
Registration,Đăng ký,[ˌredʒɪˈstreɪʃən],Front Office,Check-in process,Please complete registration.,Basic
Identification,Giấy tờ tùy thân,[aɪˌdentɪfɪˈkeɪʃən],Front Office,ID document,May I see your identification?,Basic
Credit Card,Thẻ tín dụng,[ˈkredɪt kɑːrd],Front Office,Payment card,We need a credit card for deposit.,Basic
Deposit,Tiền đặt cọc,[dɪˈpɑːzɪt],Front Office,Security payment,A deposit is required.,Basic
Bill,Hóa đơn,[bɪl],Front Office,Invoice for services,Here is your bill.,Basic
Payment,Thanh toán,[ˈpeɪmənt],Front Office,Money for services,How would you like to make payment?,Basic
Cash,Tiền mặt,[kæʃ],Front Office,Physical money,Do you accept cash?,Basic
Receipt,Biên lai,[rɪˈsiːt],Front Office,Payment proof,Keep your receipt.,Basic
Information,Thông tin,[ˌɪnfərˈmeɪʃən],Front Office,Details or data,Do you need any information?,Basic
Address,Địa chỉ,[ˈædres],Front Office,Location details,What is your home address?,Basic
Phone Number,Số điện thoại,[foʊn ˈnʌmbər],Front Office,Contact number,May I have your phone number?,Basic
Email,Thư điện tử,[ˈiːmeɪl],Front Office,Electronic mail,We'll send confirmation to your email.,Basic
Confirmation,Xác nhận,[ˌkɑːnfərˈmeɪʃən],Front Office,Verification,Here is your confirmation number.,Basic
Arrival,Đến,[əˈraɪvəl],Front Office,Coming to hotel,What is your arrival date?,Basic
