english,vietnamese,ipa,category,definition,example,level
Mobile Check-in,Check-in di động,[ˈmoʊbaɪl tʃek ɪn],Tech-driven Service,Quy trình nhận phòng qua ứng dụng điện thoại,"Complete mobile check-in before arrival",Advanced
Digital Key,Chìa khóa số,[ˈdɪdʒɪtəl kiː],Tech-driven Service,Hệ thống mở cửa phòng bằng công nghệ,"Your digital key is ready in the app",Advanced
AI Concierge,Concierge trí tuệ nhân tạo,[eɪ aɪ ˈkɑːnsiˌerʒ],Tech-driven Service,Hệ thống hỗ trợ khách 24/7 bằng AI,"AI concierge can help with reservations",Advanced
Bluetooth Low Energy,Bluetooth tiết kiệm năng lượng,[ˈbluːtuːθ loʊ ˈenərdʒi],Tech-driven Service,Công nghệ kết nối tiết kiệm pin,"BLE enables automatic door unlocking",Advanced
Near Field Communication,Giao tiếp trường gần,[nɪr fiːld kəˌmjuːnəˈkeɪʃən],Tech-driven Service,Công nghệ kết nối khi chạm,"Tap your phone for NFC access",Advanced
QR Code Access,Truy cập bằng mã QR,[kjuː ɑːr koʊd ˈækses],Tech-driven Service,Mở khóa bằng quét mã QR,"Scan QR code to unlock room",Advanced
Sleep Kit SOP,Quy trình chuẩn bị giấc ngủ,[sliːp kɪt es oʊ piː],Wellness & Bleisure,Bộ quy trình tối ưu hóa giấc ngủ,"Sleep Kit SOP includes memory foam pillow",Advanced
Memory Foam Pillow,Gối memory foam,[ˈmeməri foʊm ˈpɪloʊ],Wellness & Bleisure,Gối đặc biệt theo tư thế ngủ,"Memory foam pillow adapts to your position",Advanced
Weighted Blanket,Chăn có trọng lượng,[ˈweɪtɪd ˈblæŋkɪt],Wellness & Bleisure,Chăn giảm stress bằng trọng lượng,"Weighted blanket reduces anxiety",Advanced
Essential Oil Diffuser,Máy khuếch tán tinh dầu,[ɪˈsenʃəl ɔɪl dɪˈfjuːzər],Wellness & Bleisure,Thiết bị tạo hương thư giãn,"Essential oil diffuser promotes sleep",Advanced
